A,B,Source,Note,Text
Adam Waterous,Friends of Free Enterprise In Canada,https://torontosun.com/news/national/federal_elections/business-titans-take-out-ad-backing-poilievre-and-conservatives,Supported,"<b>Adam Waterous</b> backed Pierre Poilievre in the 2025 election, signing on to an ad campaign called <b>Friends of Free Enterprise in Canada</b>."
Adam Waterous,Pierre Poilievre,https://www.elections.ca/WPAPPS/WPF/EN/CCS/ContributionReport?returnStatus=1&reportOption=5&queryId=7c34d2a9d93f40de99c65e307126ca6f&sortDirection=asc&sortOrder=0%2C1%2C2&totalRecordFound=29&current200Page=1&total200Pages=1&reportExists=True&displaySorting=True,Donated $12K,"An <b>Adam Waterous</b> from Calgary has disclosed $10,060 in donations to the Conservative Party of Canada while it has been led by <b>Pierre Poilievre</b>, plus $1,675 to Polievre's Conservative Party leadership campaign ($11,750 total)."
Adam Waterous,Waterous Energy,https://torontosun.com/news/national/federal_elections/business-titans-take-out-ad-backing-poilievre-and-conservatives,CEO,<b>Adam Waterous</b> is the CEO and managing partner of <b>Waterous Energy</b>.
Birchcliff Energy,CAPP,https://www.capp.ca/en/about/board-of-directors/,Member,<b>Birchcliff</b>'s CEO serves on the <b>CAPP</b> board.
Canada Strong and Free Network,Atlas Network,https://canadastrongandfree.network/partners/atlas-network/,Member,The <b>Canada Strong and Free Network</b> (formerly the Manning Centre) is partnered with the <b>Atlas Network<b> and has been listed as a member on Atlas' website.
Canada Strong and Free Network,Canada Strong and Proud,https://www.elections.ca/fin/oth/thi/advert/tp43/TP-0024_ecr.pdf,Donated $240K,"The <b>Canada Strong and Free Network</b> has been a significant backer of <b>Canada Strong and Proud/Proud to Be a Canadian</b>, donating $240,500 in 2023. "
Canada Strong and Free Network,Pierre Poilievre,https://canadastrongandfree.network/speakers/honourable-pierre-poilievre/,Supported,The <b>Canada Strong and Free Network</b> funded and platformed pro-<b>Pierre Poilievre</b> voices and organizations.
Canada Strong and Proud,Pierre Poilievre,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=CA&is_targeted_country=false&media_type=all&search_type=page&view_all_page_id=480690348805429,Supported,The goal of <b>Canada Strong and Proud</b>'s network was to vilify the Liberals in support of <b>Pierre Poilievre<b> and the Conservative party in the 2025 election.
Canadian Constitution Foundation,Atlas Network,https://www.desmog.com/canadian-constitution-foundation/,Member,The <b>Canadian Consitution Foundation</b> is a member of the <b>Atlas Network</b>.
Canadian Constitution Foundation,Canada Strong and Free Network,https://canadastrongandfree.network/partners/canadian-constitution-foundation/,Partner,The <b>Canadian Constitution Foundation</b> is listed as a partner on the <b>Canada Strong and Free Network</b> website.
